Southeast Farallon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
From: 20180520,,,M = 1,,Yes = 1,,,,,,,,,,,,,,,,,,,,,,
To: 20190601,,,F = 2,,No = 0,,,,,,,,,,,,,,,,,,,,,,
Who: Scott Shaffer,,,,,,,,,,,,,,,,,,,,,,,,,,,
What: GPS Logger deployments on pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Year,Spp,Location,birdID,birdNo,Partner,Colony,Band,Sex,Logger,dDate,dTime,dMass,Puke,rDate,rTime,rMass,Puke,Cul,Tar,Skull,MnBill,MxBill,Blood,Blot,Feathers,Status
31,2019,WEGU,SEFI,201922001,1,2,NW of Catchment,124600496,1,700,20190520,15:00:00,1090,1,20190526,11:25:00,1120,0,58.8,70.0,125.1,20.0,22.4,1,1,1,3e
32,2019,WEGU,SEFI,201922002,2,1,NW of Catchment,124600497,2,701,20190520,15:36:00,920,0,20190526,10:32:00,1020,1,57.6,69.8,119.3,18.3,19.3,1,1,1,3e
33,2019,WEGU,SEFI,201922003,3,9,W of Catchment,124600498,1,702,20190520,15:59:00,1080,1,20190526,08:20:00,1070,0,58.3,72.7,150.0,20.5,22.7,1,1,1,3e
34,2019,WEGU,SEFI,201922004,4,8,Walkway PH to EL,124600499,1,708,20190520,16:56:00,990,0,20190528,10:45:00,1050,0,60.0,69.4,131.0,20.5,21.8,1,1,1,3e
35,2019,WEGU,SEFI,201922005,5,12,Boardwalk CS to PH,124600500,1,703,20190520,17:28:00,1030,0,20190527,11:45:00,1070,0,57.3,67.6,128.3,19.5,21.5,1,1,1,3e
36,2019,WEGU,SEFI,201922006,6,10,Walkway CG to PH,124601074,2,706,20190520,18:00:00,990,0,20190526,14:54:00,940,1,53.9,66.6,121.1,18.8,20.5,1,1,1,4e
37,2019,WEGU,SEFI,201922007,7,11,Russia House,124601075,2,710,20190520,18:38:00,930,0,20190526,16:59:00,930,0,54.4,67.6,121.2,19.3,20.4,1,1,1,3e
38,2019,WEGU,SEFI,201922008,8,4,Walkway PH to EL,124601076,2,704,20190521,12:30:00,900,1,20190526,18:11:00,960,0,50.0,66.1,120.5,18.3,20.5,1,1,1,3e
39,2019,WEGU,SEFI,201922009,9,3,West of Catchment,124601077,2,709,20190521,13:05:00,950,1,20190526,13:46:00,910,0,52.2,68.4,120.0,18.3,19.5,1,1,1,3e
40,2019,WEGU,SEFI,201922010,10,6,Walkway CG to PH,124601078,1,705,20190521,13:45:00,1180,1,20190527,09:30:00,1160,0,60.5,72.7,128.3,20.5,22.7,1,1,1,4e
41,2019,WEGU,SEFI,201922011,11,7,Russia House,124601079,1,714,20190521,16:19:00,1180,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3e
42,2019,WEGU,SEFI,201922012,12,5,Boardwalk CS to PH,124601080,2,712,20190521,16:47:00,980,1,20190526,09:45:00,910,0,53.4,67.1,122.7,18.3,19.9,1,1,1,3e
43,2019,WEGU,SEFI,201922013,13,14,SW of Carp shop,124601081,1,711,20190521,17:00:00,1130,0,20190527,18:05:00,1080,0,58.7,67.6,127.6,21.2,22.7,1,1,1,3e
44,2019,WEGU,SEFI,201922014,14,13,SW of Carp shop,124601082,2,707,20190521,17:15:00,1055,1,20190526,15:25:00,1020,0,51.2,71.0,118.3,19.2,20.5,1,1,1,3e
45,2019,WEGU,SEFI,201922015,15,16,SE of Carp shop,124601083,2,713,20190521,17:40:00,880,1,20190528,09:25:00,840,0,53.4,66.6,119.5,17.6,19.8,1,1,1,3e
46,2019,WEGU,SEFI,201922016,16,15,SE of Carp shop,124601084,1,603,20190522,10:15:00,1000,0,20190530,18:40:00,970,0,57.7,68.4,125.5,19.4,21.5,1,1,1,3e
47,2019,WEGU,SEFI,201922017,17,19,Behind PH,108609309,1,616,20190522,10:45:00,1270,1,20190529,12:20:00,1130,0,60.5,72.0,127.5,20.0,21.3,1,1,1,2e
48,2019,WEGU,SEFI,201922018,18,20,Out front PH,124601085,1,528,20190522,11:10:00,1150,0,20190528,12:30:00,1080,0,62.7,73.4,130.0,20.1,22.7,1,1,1,3e
49,2019,WEGU,SEFI,201922019,19,17,Behind PH,124601086,2,611,20190522,12:09:00,930,1,20190528,14:33:00,880,0,53.7,66.1,118.3,18.3,20.8,1,1,1,2e
50,2019,WEGU,SEFI,201922020,20,18,Out front PH,124601087,2,419,20190522,14:15:00,990,0,20190528,19:15:00,910,0,57.0,68.3,121.1,17.6,19.8,1,1,1,3e
51,2019,WEGU,SEFI,201922021,21,23,North Landing,124601088,2,529,20190522,15:20:00,880,0,20190529,14:49:00,980,0,55.9,65.9,122.2,19.8,22.0,1,1,1,3e
52,2019,WEGU,SEFI,201922022,22,24,North Landing,124601089,1,609,20190522,16:10:00,1230,1,20190530,09:15:00,1130,0,61.7,72.7,131.7,21.6,22.7,1,1,1,3e
53,2019,WEGU,SEFI,201922023,23,21,North Landing,124601090,1,527,20190522,16:39:00,1155,1,20190528,15:30:00,1180,0,52.3,71.5,130.5,21.5,22.7,0,0,1,3e
54,2019,WEGU,SEFI,201922024,24,22,North Landing,124601091,2,525,20190522,16:59:00,905,0,20190529,18:00:00,910,0,54.4,67.1,118.1,18.8,20.5,1,1,1,3e
55,2019,WEGU,SEFI,201922025,25,29,North Landing,124601092,1,519,20190522,17:16:00,1230,1,20190529,15:00:00,1130,0,63.7,73.7,131.2,21.2,23.7,1,1,1,3e
56,2019,WEGU,SEFI,201922026,26,28,North Landing,124601093,2,524,20190523,10:50:00,1020,0,20190529,18:30:00,970,1,57.7,66.6,121.6,18.3,20.1,1,1,1,2e
57,2019,WEGU,SEFI,201922027,27,30,North Landing,124601094,2,605,20190523,11:45:00,920,1,20190531,13:23:00,830,0,52.0,62.2,118.3,19.8,20.5,1,1,1,3e
58,2019,WEGU,SEFI,201922028,28,26,North Landing,124601095,1,530,20190523,13:55:00,1190,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2e
59,2019,WEGU,SEFI,201922029,29,25,North Landing,124601096,2,615,20190523,16:45:00,990,1,20190528,17:20:00,1010,0,55.0,65.5,122.2,18.8,20.5,1,1,1,3e
60,2019,WEGU,SEFI,201922030,30,27,North Landing,124601097,1,526,20190524,09:55:00,1290,0,20190528,18:10:00,1230,0,63.7,76.5,138.3,21.0,23.3,1,1,1,3e
1,2018,WEGU,SEFI,201822001,1,6,SW of Cistern,117623387,1,603,20180520,13:35:00,1190,0,20180528,11:29:00,1210,0,62.3,72.8,133.8,20.0,22.2,1,1,1,3e
2,2018,WEGU,SEFI,201822002,2,9,W of Cistern,117623388,2,606,20180520,14:31:00,860,0,20180526,18:43:00,940,0,52.6,65.4,115.4,19.8,20.5,1,1,1,3e
3,2018,WEGU,SEFI,201822003,3,7,S of Cistern,117623389,2,602,20180520,15:05:00,860,0,20180527,14:55:00,820,0,55.9,64.8,122.0,19.8,20.5,1,1,1,3e
4,2018,WEGU,SEFI,201822004,4,8,Carp shop,117623390,1,607,20180520,15:50:00,1240,0,20180526,16:05:00,1180,0,59.7,72.3,131.4,20.8,23.1,1,1,1,3e
5,2018,WEGU,SEFI,201822005,5,16,Behind Carp shop,117623391,2,604,20180520,16:13:00,770,0,20180527,13:26:00,860,0,52.2,65.9,119.8,18.0,20.5,1,1,1,2e
6,2018,WEGU,SEFI,201822006,6,1,SW of Cistern,117623392,2,605,20180520,16:46:00,870,1,20180528,18:51:00,910,0,57.4,66.1,119.0,18.3,22.0,1,1,1,3e
7,2018,WEGU,SEFI,201822007,7,3,S of Cistern,117623393,1,608,20180520,18:00:00,1150,0,20180528,17:00:00,1130,0,61.0,74.4,134.0,20.0,22.3,1,1,1,3e
8,2018,WEGU,SEFI,201822008,8,4,Carp shop,117623394,2,609,20180520,18:25:00,880,1,20180527,12:43:00,880,0,54.4,63.9,120.0,19.8,21.2,1,1,1,3e
9,2018,WEGU,SEFI,201822009,9,2,W of Cistern,117623395,1,612,20180520,18:48:00,1150,0,20180528,09:40:00,1150,0,60.0,74.1,133.6,21.2,22.7,1,1,1,3e
10,2018,WEGU,SEFI,201822010,10,15,Carp shop,117623396,1,613,20180520,19:13:00,1020,1,20180526,15:30:00,980,0,56.3,69.4,125.8,19.7,22.0,1,1,1,3e
11,2018,WEGU,SEFI,201822011,11,13,W of Carp shop,117607088,2,614,20180521,09:14:00,940,0,20180527,12:08:00,990,0,56.7,63.4,120.5,19.8,22.7,0,0,1,3e
12,2018,WEGU,SEFI,201822012,12,18,SW of Cistern,117623397,1,610,20180521,10:43:00,1240,0,20180527,15:35:00,1170,0,59.8,73.7,133.7,22.2,23.3,1,1,1,3e
13,2018,WEGU,SEFI,201822013,13,11,W of Carp shop,124600474,1,611,20180521,11:27:00,1140,0,20180527,11:37:00,1170,1,59.5,69.5,129.3,21.5,24.9,1,1,1,3e
14,2018,WEGU,SEFI,201822014,14,NaN,Road to Carp (burning bush),124600475,2,615,20180521,11:53:00,790,0,20180529,11:14:00,850,0,52.9,67.1,117.1,17.1,19.9,1,1,1,3e
15,2018,WEGU,SEFI,201822015,15,10,Carp shop,124600476,2,616,20180521,15:02:00,980,0,20180528,15:34:00,1030,0,58.0,67.6,126.7,19.0,21.1,1,1,1,3e
16,2018,WEGU,SEFI,201822016,16,5,Behind Carp shop,124600477,1,503,20180521,15:35:00,1150,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2e
17,2018,WEGU,SEFI,201822017,17,19,path CGH to PH,124600478,2,419,20180521,16:51:00,800,0,20180528,15:11:00,850,0,53.0,66.0,123.0,19.0,20.0,1,1,1,3e
18,2018,WEGU,SEFI,201822018,18,12,SW of Cistern,124600479,2,417,20180521,18:07:00,930,0,20180526,17:57:00,910,1,56.6,68.8,122.7,18.8,22.2,1,1,1,3e
19,2018,WEGU,SEFI,201822019,19,17,path CGH to PH,124600480,1,526,20180521,19:09:00,1150,0,20180528,12:54:00,1230,1,NaN,76.6,NaN,NaN,NaN,NaN,NaN,NaN,3e
20,2018,WEGU,SEFI,201822020,20,21,North Landing,124600481,2,533,20180525,10:58:00,1050,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3e
21,2018,WEGU,SEFI,201822021,21,20,North Landing,124600482,1,530,20180525,11:26:00,1190,0,20180530,14:32:00,1120,0,61.9,74.1,133.0,20.5,23.0,1,1,1,3e
22,2018,WEGU,SEFI,201822022,22,26,North Landing,124600483,2,532,20180525,11:46:00,980,1,20180529,13:46:00,960,1,57.0,67.3,118.3,18.0,21.4,1,1,1,3e
23,2018,WEGU,SEFI,201822023,23,28,North Landing,124600484,1,522,20180525,13:08:00,1100,1,20180529,17:35:00,1120,0,61.0,70.5,131.3,20.5,22.8,1,1,1,3e
24,2018,WEGU,SEFI,201822024,24,27,North Landing,124600485,1,525,20180525,13:45:00,1240,1,20180530,18:00:00,1220,0,62.6,73.5,131.5,21.0,22.7,1,1,1,3e
25,2018,WEGU,SEFI,201822025,25,30,North Landing,124600486,2,517,20180525,14:13:00,920,1,20180529,15:33:00,920,0,56.1,64.0,121.0,18.8,20.5,0,1,1,3e
26,2018,WEGU,SEFI,201822026,26,22,North Landing,124600487,1,524,20180525,16:12:00,1200,1,20180530,10:04:00,1140,0,58.5,71.7,128.8,20.0,21.6,1,1,1,3e
27,2018,WEGU,SEFI,201822027,27,24,North Landing,124600488,2,531,20180525,19:10:00,970,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3e
28,2018,WEGU,SEFI,201822028,28,23,North Landing,124600489,2,529,20180526,08:23:00,930,0,20180530,09:25:00,930,0,51.5,64.0,117.0,16.5,18.0,1,1,1,3e
29,2018,WEGU,SEFI,201822029,29,31,E of Russia House,124600490,1,527,20180526,10:19:00,1210,1,20180530,11:00:00,1110,0,58.0,72.5,129.8,20.6,22.7,1,1,1,3e
30,2018,WEGU,SEFI,201822030,30,25,North Landing,124600491,1,519,20180526,12:20:00,1230,0,20180531,16:15:00,1240,0,60.2,73.8,129.9,20.5,23.0,1,1,1,3e
31,2018,WEGU,SEFI,201822031,31,29,E of Russia House,124600492,2,520,20180527,09:48:00,850,0,20180529,19:00:00,850,0,54.5,68.4,118.0,18.5,20.5,1,1,1,3e